DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
200207988,03/20/2020,03/19/2020,2250,02,Rampart,0201,997,TRAFFIC COLLISION,3101 3401 3701 0605 3029 3036 3004 3026,26,M,H,101,STREET,WILLOW BROOK                 AV,VERMONT                      AV,"(34.0895, -118.2917)"
202107530,03/19/2020,03/19/2020,1405,21,Topanga,2189,997,TRAFFIC COLLISION,3003 3037 3029 3034 3026 3101 4026,25,F,B,101,STREET,VENTURA,QUAKERTOWN,"(34.1714, -118.5698)"
200109430,03/19/2020,03/19/2020,1450,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 0605 3004,89,M,O,101,STREET,OLYMPIC,S  BROADWAY,"(34.0409, -118.2574)"
201507834,03/19/2020,03/19/2020,1820,15,N Hollywood,1546,997,TRAFFIC COLLISION,3004 3026 3101 4026 3037,51,M,W,101,STREET,MAGNOLIA                     BL,COLFAX                       AV,"(34.1649, -118.3877)"
201308504,03/19/2020,03/19/2020,1845,13,Newton,1375,997,TRAFFIC COLLISION,3101 3401 3701 3004 3029 3026 3104 0605,33,F,H,101,STREET,5600 S  CENTRAL                      AV,,"(33.9917, -118.2564)"
201308503,03/19/2020,03/19/2020,2030,13,Newton,1333,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3029 3036 0605,36,M,H,101,STREET,SAN PEDRO                    ST,29TH                         ST,"(34.0191, -118.2629)"
201308422,03/19/2020,03/19/2020,0320,13,Newton,1383,997,TRAFFIC COLLISION,3101 3401 3701 3004 3024 0605,22,M,B,101,STREET,GAGE                         AV,BROADWAY,"(33.9824, -118.2783)"
201107658,03/24/2020,03/19/2020,2045,11,Northeast,1132,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030 0605,27,M,W,101,STREET,ARBOLADA                     RD,LOS FELIZ,"(34.1149, -118.2749)"
201107571,03/21/2020,03/19/2020,1830,11,Northeast,1124,997,TRAFFIC COLLISION,0605 3101 3401 3701 3003 3026,44,M,W,101,STREET,SAN FERNANDO                 RD,TREADWELL                    ST,"(34.1194, -118.2504)"
201107516,03/19/2020,03/19/2020,1105,11,Northeast,1142,997,TRAFFIC COLLISION,3101 3401 3701 0605 3034 3004,30,M,W,101,STREET,HILLHURST,CLARISSA                     AV,"(34.1069, -118.2874)"
