DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191111625,06/06/2019,06/06/2019,0710,11,Northeast,1162,997,TRAFFIC COLLISION,0605 3101 3401 3701 4024 3008 3036 3603,39,M,H,101,STREET,VERMONT                      AV,SANTA MONICA                 BL,"(34.0909, -118.2917)"
190213124,06/15/2019,06/14/2019,2215,02,Rampart,0233,997,TRAFFIC COLLISION,0605 3101 3401 3701 4027 3008 3603 3025,28,M,W,101,STREET,RAMPART                      BL,3RD                          ST,"(34.0663, -118.2789)"
191112079,06/15/2019,06/14/2019,1840,11,Northeast,1115,997,TRAFFIC COLLISION,0605 3101 3401 3701 4011 3030 3036 3008 3603,73,M,W,101,STREET,N  MAYWOOD                      AV,FAIR PARK                    AV,"(34.1353, -118.211)"
190116470,06/20/2019,06/20/2019,1140,01,Central,0185,997,TRAFFIC COLLISION,3603 0605 3101 3401 3701 4001 3006 3024 3008,28,M,W,101,STREET,9TH                          ST,MAIN                         ST,"(34.0411, -118.2545)"
191712565,07/09/2019,07/09/2019,1720,17,Devonshire,1785,997,TRAFFIC COLLISION,3603 3008 3037 3025 3103 3401 3701 4026,29,M,W,101,STREET,PRAIRIE                      ST,RESEDA                       BL,"(34.2391, -118.5361)"
190221026,11/01/2019,10/31/2019,1010,02,Rampart,0247,997,TRAFFIC COLLISION,0605 3101 3401 3701 3603 3003 3024,34,M,W,101,STREET,6TH,PARK VIEW,"(34.0596, -118.2701)"
201709361,05/22/2020,05/22/2020,1030,17,Devonshire,1785,997,TRAFFIC COLLISION,3025 3101 4026 3018 3037 3603,70,M,W,101,STREET,RAYEN                        ST,WILBUR                       AV,"(34.2319, -118.5448)"
160117261,06/19/2016,06/19/2016,1435,01,Central,0164,997,TRAFFIC COLLISION,3101 3401 3701 3603,20,M,H,101,STREET,7TH,MAIN,"(34.0433, -118.2504)"
130124427,11/22/2013,11/22/2013,1415,01,Central,0162,997,TRAFFIC COLLISION,3101 3401 3701 3016 3603 3026,45,M,H,101,STREET,7TH                          ST,GRAND                        AV,"(34.0473, -118.2566)"
130124889,12/02/2013,12/02/2013,0920,01,Central,0146,997,TRAFFIC COLLISION,3101 3401 3701 3016 3026 3603,53,M,B,101,STREET,WALL                         ST,WINSTON                      ST,"(34.0455, -118.2452)"
130221165,10/26/2013,10/25/2013,2010,02,Rampart,0266,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603 0605,62,M,H,101,STREET,8TH                          ST,BEACON,"(34.0529, -118.2733)"
130224121,12/25/2013,12/25/2013,1500,02,Rampart,0256,997,TRAFFIC COLLISION,3101 3401 3701 3603 3004 3029 3026,27,F,H,101,STREET,BONNIE BRAE                  ST,7TH                          ST,"(34.0554, -118.2745)"
130417606,12/26/2013,12/26/2013,1230,04,Hollenbeck,0464,997,TRAFFIC COLLISION,3101 3401 3701 3016 3026 3603,31,M,H,101,STREET,E  1ST                          ST,SAINT LOUIS                  ST,"(34.0449, -118.2137)"
131119716,11/03/2013,11/03/2013,1620,11,Northeast,1126,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3603,29,M,W,101,STREET,MERIDIAN                     ST,AVENUE 54,"(34.1207, -118.1992)"
131118610,10/11/2013,10/11/2013,1630,11,Northeast,1148,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,44,M,H,101,STREET,FIGUEROA                     ST,SYCAMORE                     TR,"(34.1019, -118.2031)"
131118863,10/16/2013,10/08/2013,1910,11,Northeast,1161,997,TRAFFIC COLLISION,3101 3401 3701 3008 3030 3603,,M,W,101,STREET,ALEXANDRIA,FOUNTAIN,"(34.0953, -118.2984)"
132019446,11/21/2013,11/21/2013,2050,20,Olympic,2036,997,TRAFFIC COLLISION,3008 3026 3035 3037 3103 3401 3701 4020 3603,27,F,O,101,STREET,CATALINA                     ST,7TH                          ST,"(34.0598, -118.2954)"
140104104,01/02/2014,01/02/2014,1700,01,Central,0176,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,48,M,W,101,STREET,SAN PEDRO                    ST,7TH                          ST,"(34.0407, -118.2468)"
140114986,06/21/2014,06/21/2014,1530,01,Central,0176,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,31,M,H,101,STREET,9TH                          ST,SAN JULIAN                   ST,"(34.0373, -118.2503)"
140109261,03/21/2014,03/21/2014,1435,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,43,M,H,101,STREET,LOS ANGELES                  ST,12TH                         ST,"(34.037, -118.2583)"
140106236,02/03/2014,02/03/2014,0830,01,Central,0162,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603,44,M,W,101,STREET,7TH                          ST,FIGUEROA                     ST,"(34.0494, -118.2599)"
140116290,07/10/2014,07/10/2014,1145,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3004 3034 3603,,M,H,101,STREET,LOS ANGELES                  ST,12TH                         ST,"(34.037, -118.2583)"
140114380,06/12/2014,06/12/2014,1040,01,Central,0153,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,20,M,W,101,STREET,BROADWAY,7TH                          ST,"(34.0452, -118.2534)"
140127850,12/25/2014,12/25/2014,0725,01,Central,0162,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,52,M,H,101,STREET,7TH                          ST,FLOWER                       ST,"(34.0487, -118.2588)"
140211420,05/24/2014,05/24/2014,1215,02,Rampart,0279,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,46,M,H,101,STREET,VALENCIA                     AV,OLYMPIC                      BL,"(34.0484, -118.2724)"
140312227,05/21/2014,05/12/2014,1730,03,Southwest,0362,997,TRAFFIC COLLISION,3603 4025 3008 3025 3101,25,M,H,101,STREET,MARTIN LUTHER KING JR        BL,NICOLET                      AV,"(34.0197, -118.3495)"
140319351,09/10/2014,09/09/2014,1800,03,Southwest,0375,997,TRAFFIC COLLISION,3603 3008 3026 3101 4003,22,M,H,101,STREET,WESTERN,BROWNING,"(34.0119, -118.3089)"
140321478,10/11/2014,10/11/2014,0920,03,Southwest,0376,997,TRAFFIC COLLISION,4025 3034 3028 3101 3603,35,F,B,101,STREET,39TH,NORMANDIE,"(34.0155, -118.3002)"
140405989,02/20/2014,02/20/2014,1135,04,Hollenbeck,0422,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3603,29,M,H,101,STREET,DALY                         ST,DARWIN                       AV,"(34.0675, -118.2155)"
140321158,10/07/2014,10/07/2014,0930,03,Southwest,0375,997,TRAFFIC COLLISION,4025 3008 3025 3101 3603,,M,H,101,STREET,GRAMERCY                     PL,MIDDLETON                    AV,"(34.0156, -118.3132)"
140320210,09/23/2014,09/21/2014,1940,03,Southwest,0358,997,TRAFFIC COLLISION,3603 3025 3101 4003,22,M,H,101,STREET,FIGUEROA,JEFFERSON,"(34.0212, -118.2805)"
140320924,10/03/2014,10/03/2014,1615,03,Southwest,0395,997,TRAFFIC COLLISION,4025 3026 3101 3603,,M,H,101,STREET,VERNON                       AV,WESTERN                      AV,"(34.0037, -118.3089)"
140414177,09/15/2014,09/15/2014,0900,04,Hollenbeck,0464,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,22,M,H,101,STREET,E  1ST                          ST,BREED                        ST,"(34.0443, -118.211)"
140406983,03/17/2014,03/15/2014,1815,04,Hollenbeck,0455,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3603,32,M,H,101,STREET,SOTO                         ST,FOLSOM                       ST,"(34.0486, -118.2066)"
140607522,03/06/2014,03/05/2014,1915,06,Hollywood,0644,997,TRAFFIC COLLISION,3026 3035 3036 3101 3401 3701 3603 1300 4006 3008,21,M,H,101,STREET,SUNSET,VISTA,"(34.098, -118.351)"
140706865,03/19/2014,03/18/2014,2210,07,Wilshire,0702,997,TRAFFIC COLLISION,3008 3025 3034 3037 3101 3401 3701 4027 3603,47,M,H,101,STREET,MELROSE                      AV,ORANGE GROVE                 AV,"(34.0838, -118.3605)"
140707679,04/10/2014,04/09/2014,2030,07,Wilshire,0765,997,TRAFFIC COLLISION,3008 3025 3034 3037 3101 3401 3701 4027 3603,21,M,W,101,STREET,PICO                         BL,SYCAMORE                     AV,"(34.0479, -118.3481)"
140806780,03/18/2014,03/17/2014,1935,08,West LA,0893,997,TRAFFIC COLLISION,3008 3034 3037 3103 3401 3701 4027 3603,55,,,101,STREET,GAYLEY,WEYBURN,"(34.0602, -118.4465)"
140804855,01/24/2014,01/24/2014,1325,08,West LA,0833,997,TRAFFIC COLLISION,3603 3026 3034 3037 3103 3401 3701 4027,27,F,W,101,STREET,WESTWOOD                     BL,ASHTON                       AV,"(34.0578, -118.4433)"
140804390,01/11/2014,01/11/2014,1120,08,West LA,0817,997,TRAFFIC COLLISION,1300 3008 3701 4008 3025 3035 3037 3603 3101 3401,51,F,H,101,STREET,WESTWOOD                     BL,WEYBURN                      AV,"(34.0626, -118.4454)"
140805678,02/15/2014,02/15/2014,0920,08,West LA,0881,997,TRAFFIC COLLISION,3008 3025 3035 3037 3103 3401 3701 4008 3603 0605,53,M,W,101,STREET,OLYMPIC                      BL,GRANVILLE,"(34.0332, -118.4499)"
141105420,02/02/2014,02/02/2014,1040,11,Northeast,1162,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,25,F,W,101,STREET,LEXINGTON,FRESNO,"(34.0947, -118.2877)"
141104371,01/09/2014,01/09/2014,1515,11,Northeast,1133,997,TRAFFIC COLLISION,3101 3401 3701 3016 3026 3603,21,M,H,101,STREET,FLETCHER                     DR,ATWATER                      ST,"(34.1117, -118.2498)"
141111167,06/01/2014,06/01/2014,1000,11,Northeast,1178,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,80,M,O,101,STREET,FIGUEROA                     ST,AMABEL                       ST,"(34.0885, -118.2156)"
141117199,09/25/2014,09/24/2014,0800,11,Northeast,1124,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,28,M,W,101,STREET,ESTARA                       ST,FLETCHER                     DR,"(34.1181, -118.2412)"
141111910,06/15/2014,06/15/2014,1330,11,Northeast,1127,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,,F,H,101,STREET,YORK                         AV,AVENUE 56,"(34.1194, -118.1967)"
141106361,02/21/2014,02/21/2014,1645,11,Northeast,1151,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,64,M,W,101,STREET,SUNSET,NEW HAMPSHIRE,"(34.0982, -118.2929)"
141206653,02/13/2014,02/13/2014,0100,12,77th Street,1245,997,TRAFFIC COLLISION,3028 3030 3101 3603,57,F,B,101,STREET,66TH                         ST,RAYMOND                      AV,"(33.9792, -118.2981)"
141218734,08/19/2014,08/19/2014,1555,12,77th Street,1218,997,TRAFFIC COLLISION,3603 3025 3103 4025,48,M,B,101,STREET,54TH                         ST,HOOVER                       ST,"(33.9933, -118.2871)"
141305873,02/04/2014,02/04/2014,0800,13,Newton,1372,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603 3029,64,M,H,101,STREET,MAIN                         ST,57TH                         ST,"(33.9907, -118.2739)"
141311744,05/22/2014,05/22/2014,1730,13,Newton,1309,997,TRAFFIC COLLISION,3101 3401 3701 3004 3603 3029 3026,31,M,H,101,STREET,ALAMEDA                      ST,20TH                         ST,"(34.018, -118.2396)"
141316848,08/22/2014,08/22/2014,1430,13,Newton,1303,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3034 3603,38,M,H,101,STREET,PICO                         BL,SAN PEDRO                    ST,"(34.0328, -118.254)"
141318641,09/23/2014,09/23/2014,1600,13,Newton,1343,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,20,M,H,101,STREET,41ST                         ST,WADSWORTH                    AV,"(34.0092, -118.2589)"
141309822,04/15/2014,04/15/2014,1430,13,Newton,1373,997,TRAFFIC COLLISION,3101 3401 3701 3008 3030 3026 3603,56,M,B,101,STREET,53RD                         ST,WADSWORTH                    ST,"(33.9943, -118.2586)"
141407916,02/21/2014,02/21/2014,1015,14,Pacific,1413,997,TRAFFIC COLLISION,3008 3025 3034 3037 3103 3401 3701 4027 3603,44,F,W,101,STREET,ROSE                         AV,5TH                          ST,"(33.9981, -118.4741)"
141405949,01/28/2014,01/27/2014,1100,14,Pacific,1413,997,TRAFFIC COLLISION,1501 3008 3025 3035 3037 3101 3401 3701 4014 3603,57,M,H,101,STREET,ROSE,RENNIE,"(33.9982, -118.4728)"
142008073,03/30/2014,02/26/2014,0900,20,Olympic,2033,997,TRAFFIC COLLISION,3008 3026 3029 3035 3037 3101 3401 3701 4027 3603,31,F,A,101,STREET,WESTERN,WILSHIRE,"(34.0617, -118.3091)"
142007403,03/16/2014,03/16/2014,1710,20,Olympic,2023,997,TRAFFIC COLLISION,3008 3025 3034 3037 3103 3401 3701 4027 3603,47,M,W,101,STREET,3RD                          ST,HARVARD                      BL,"(34.069, -118.3041)"
142007146,03/11/2014,03/10/2014,2000,20,Olympic,2083,997,TRAFFIC COLLISION,3008 3035 3037 3101 3401 3701 4027 3603,21,M,O,101,STREET,WESTERN                      AV,VENICE                       BL,"(34.0436, -118.309)"
150110444,04/08/2015,04/08/2015,1040,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3016 3603 3026 3034,36,M,H,101,STREET,PICO                         BL,LOS ANGELES                  ST,"(34.0357, -118.2593)"
150118827,08/14/2015,08/14/2015,1045,01,Central,0138,997,TRAFFIC COLLISION,3101 3401 3701 3008 3603 3025,27,M,H,101,STREET,4TH                          ST,OMAR                         AV,"(34.0454, -118.2422)"
150111718,04/27/2015,04/27/2015,1430,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3006 3025 3603,44,M,H,101,STREET,SANTEE                       ST,12TH                         ST,"(34.0363, -118.2573)"
150115841,07/01/2015,07/01/2015,1255,01,Central,0195,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,29,M,H,101,STREET,PICO                         BL,LOS ANGELES                  ST,"(34.0357, -118.2593)"
150109909,03/31/2015,03/31/2015,0730,01,Central,0118,997,TRAFFIC COLLISION,3101 3401 3701 3025 3603 3008,32,M,W,101,STREET,MAIN                         ST,WILHARDT                     ST,"(34.0677, -118.2259)"
150107718,02/27/2015,02/27/2015,1440,01,Central,0147,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,52,M,H,101,STREET,SAN PEDRO                    ST,5TH                          ST,"(34.0442, -118.2439)"
150111701,04/27/2015,04/27/2015,0725,01,Central,0185,997,TRAFFIC COLLISION,3101 3401 3701 3026 3603 3008,27,M,H,101,STREET,BROADWAY,OLYMPIC,"(34.0409, -118.2574)"
150111982,05/01/2015,05/01/2015,1710,01,Central,0135,997,TRAFFIC COLLISION,3101 3401 3701 3016 3025 3603,33,M,W,101,STREET,SAN PEDRO                    ST,1TH                          ST,"(34.0495, -118.2458)"
150121466,09/23/2015,09/23/2015,1310,01,Central,0158,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3603,58,M,H,101,STREET,WALL                         ST,8TH                          ST,"(34.0395, -118.2405)"
150111797,04/28/2015,04/28/2015,1615,01,Central,0111,997,TRAFFIC COLLISION,3101 3401 3701 3603 3025 3008,49,M,W,101,STREET,ALAMEDA                      ST,ALPINE                       ST,"(34.0617, -118.2363)"
150110089,04/02/2015,04/02/2015,1545,01,Central,0162,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,24,M,H,101,STREET,7TH                          ST,FIGUEROA                     ST,"(34.0494, -118.2599)"
150116712,07/14/2015,07/14/2015,1450,01,Central,0153,997,TRAFFIC COLLISION,3101 3401 3701 3008 3025 3603,28,M,H,101,STREET,BROADWAY,5TH                          ST,"(34.0467, -118.252)"
150127465,12/12/2015,12/12/2015,1150,01,Central,0166,997,TRAFFIC COLLISION,3101 3401 3701 3008 3026 3029 3603,60,M,B,101,STREET,E  6TH                          ST,S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
