Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008,SE_A09004B_008,SE_A09004B_001,SE_A09004B_002,SE_A09004B_003,SE_A09004B_004,SE_A09004B_005,SE_A09004B_006,SE_A09004B_007,PCT_SE_A09004B_001,PCT_SE_A09004B_002,PCT_SE_A09004B_003,PCT_SE_A09004B_004,PCT_SE_A09004B_005,PCT_SE_A09004B_006,PCT_SE_A09004B_007,SE_A09003_001,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007
"06037101110","14000US06037101110","Census Tract 1011.10","Census Tract 1011.10, Los Angeles County, California","ca","140","00","ACSSF","0003870",,,,,"06","037",,,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314,9780.452,0.441083896913808,4314,3314,47,4,329,4,499,117,76.82,1.09,0.09,7.63,0.09,11.57,2.71,1927,1763,1588,175,46,0,0,0,20,98,91.49,82.41,9.08,2.39,0,0,0,1.04,5.09,1927,904,739,86,31,0,20,28,46.91,38.35,4.46,1.61,0,1.04,1.45,34,829,114,362,272,52,20,9,13.75,43.67,32.81,6.27,2.41,1.09
"06037101122","14000US06037101122","Census Tract 1011.22","Census Tract 1011.22, Los Angeles County, California","ca","140","00","ACSSF","0003871",,,,,"06","037",,,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,3172.779,1.02087152527348,3239,2837,61,13,206,0,61,61,87.59,1.88,0.4,6.36,0,1.88,1.88,1907,1776,1645,131,7,0,0,11,40,73,93.13,86.26,6.87,0.37,0,0,0.58,2.1,3.83,1907,367,307,60,0,0,0,0,19.24,16.1,3.15,0,0,0,0,41,230,0,118,70,10,32,0,0,51.3,30.43,4.35,13.91,0
"06037101210","14000US06037101210","Census Tract 1012.10","Census Tract 1012.10, Los Angeles County, California","ca","140","00","ACSSF","0003872",,,,,"06","037",,,,"101210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6052,24089.21,0.251232824244746,6052,4771,172,0,260,0,736,113,78.83,2.84,0,4.3,0,12.16,1.87,2770,2445,2235,210,95,0,0,91,33,106,88.27,80.69,7.58,3.43,0,0,3.29,1.19,3.83,2770,2358,1902,154,73,91,47,91,85.13,68.66,5.56,2.64,3.29,1.7,3.29,28,1984,254,989,608,133,0,0,12.8,49.85,30.65,6.7,0,0
"06037101220","14000US06037101220","Census Tract 1012.20","Census Tract 1012.20, Los Angeles County, California","ca","140","00","ACSSF","0003873",,,,,"06","037",,,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497,12959.46,0.269841404670601,3497,2494,71,0,302,0,487,143,71.32,2.03,0,8.64,0,13.93,4.09,1513,1360,1235,125,55,0,0,0,23,75,89.89,81.63,8.26,3.64,0,0,0,1.52,4.96,1513,814,644,80,37,0,23,30,53.8,42.56,5.29,2.45,0,1.52,1.98,30,823,103,427,263,11,19,0,12.52,51.88,31.96,1.34,2.31,0
"06037101300","14000US06037101300","Census Tract 1013","Census Tract 1013, Los Angeles County, California","ca","140","00","ACSSF","0003874",,,,,"06","037",,,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4297,4311.606,0.996612339516631,4297,3705,161,0,289,0,48,94,86.22,3.75,0,6.73,0,1.12,2.19,2041,1765,1631,134,86,0,0,0,0,190,86.48,79.91,6.57,4.21,0,0,0,0,9.31,2041,182,153,9,0,0,0,20,8.92,7.5,0.44,0,0,0,0.98,36,167,8,31,122,0,6,0,4.79,18.56,73.05,0,3.59,0
"06037101400","14000US06037101400","Census Tract 1014","Census Tract 1014, Los Angeles County, California","ca","140","00","ACSSF","0003875",,,,,"06","037",,,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3851,1580.659,2.43632634591357,3851,3022,18,43,348,0,224,196,78.47,0.47,1.12,9.04,0,5.82,5.09,1791,1596,1358,238,58,7,0,31,8,91,89.11,75.82,13.29,3.24,0.39,0,1.73,0.45,5.08,1777,386,300,27,28,31,0,0,21.72,16.88,1.52,1.58,1.74,0,0,35,424,77,123,177,47,0,0,18.16,29.01,41.75,11.08,0,0
"06037102103","14000US06037102103","Census Tract 1021.03","Census Tract 1021.03, Los Angeles County, California","ca","140","00","ACSSF","0003876",,,,,"06","037",,,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,3865.934,0.458104052991751,1771,1523,0,0,113,0,50,85,86,0,0,6.38,0,2.82,4.8,801,710,639,71,0,0,0,0,18,73,88.64,79.78,8.86,0,0,0,0,2.25,9.11,801,258,196,0,0,0,13,49,32.21,24.47,0,0,0,1.62,6.12,27,239,0,104,108,27,0,0,0,43.51,45.19,11.3,0,0
"06037102104","14000US06037102104","Census Tract 1021.04","Census Tract 1021.04, Los Angeles County, California","ca","140","00","ACSSF","0003877",,,,,"06","037",,,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554,5549.938,0.640367445717895,3554,2720,117,3,443,8,206,57,76.53,3.29,0.08,12.46,0.23,5.8,1.6,1599,1273,1128,145,58,7,9,78,0,174,79.61,70.54,9.07,3.63,0.44,0.56,4.88,0,10.88,1497,399,382,13,0,0,0,4,26.65,25.52,0.87,0,0,0,0.27,30,375,57,171,96,51,0,0,15.2,45.6,25.6,13.6,0,0
"06037102105","14000US06037102105","Census Tract 1021.05","Census Tract 1021.05, Los Angeles County, California","ca","140","00","ACSSF","0003878",,,,,"06","037",,,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857,9760.528,0.190256093850628,1857,1179,41,13,117,12,415,80,63.49,2.21,0.7,6.3,0.65,22.35,4.31,1032,894,845,49,36,0,0,65,37,0,86.63,81.88,4.75,3.49,0,0,6.3,3.59,0,1032,434,346,17,0,14,57,0,42.05,33.53,1.65,0,1.36,5.52,0,25,293,0,148,102,29,12,2,0,50.51,34.81,9.9,4.1,0.68
"06037102107","14000US06037102107","Census Tract 1021.07","Census Tract 1021.07, Los Angeles County, California","ca","140","00","ACSSF","0003879",,,,,"06","037",,,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4333,869.3781,4.98402231979453,4333,3402,111,6,395,0,319,100,78.51,2.56,0.14,9.12,0,7.36,2.31,2044,1963,1713,250,0,0,0,0,14,67,96.04,83.81,12.23,0,0,0,0,0.68,3.28,2044,579,492,87,0,0,0,0,28.33,24.07,4.26,0,0,0,0,31,335,27,167,63,28,50,0,8.06,49.85,18.81,8.36,14.93,0
