,Date_Occurred,Time_Occurred,Area_ID,Area_Name,MO_Codes,Victim_Age,Victim_Sex,Victim_Descent,Address,Cross_Street,Location,Latitude,Longitude,geometry
0,2020-03-19,2250,2,Rampart,3101 3401 3701 0605 3029 3036 3004 3026,26.0,Male,"Hispanic, Latin, Mexican",WILLOW BROOK                 AV,VERMONT                      AV,"(34.0895, -118.2917)",34.0895,-118.2917,POINT (-118.2917 34.0895)
1,2020-03-19,1405,21,Topanga,3003 3037 3029 3034 3026 3101 4026,25.0,Female,Black,VENTURA,QUAKERTOWN,"(34.1714, -118.5698)",34.1714,-118.5698,POINT (-118.5698 34.1714)
2,2020-03-19,1450,1,Central,3101 3401 3701 0605 3004,89.0,Male,Other,OLYMPIC,S  BROADWAY,"(34.0409, -118.2574)",34.0409,-118.2574,POINT (-118.2574 34.0409)
3,2020-03-19,1820,15,N Hollywood,3004 3026 3101 4026 3037,51.0,Male,White,MAGNOLIA                     BL,COLFAX                       AV,"(34.1649, -118.3877)",34.1649,-118.3877,POINT (-118.3877 34.1649)
4,2020-03-19,1845,13,Newton,3101 3401 3701 3004 3029 3026 3104 0605,33.0,Female,"Hispanic, Latin, Mexican",5600 S  CENTRAL                      AV,,"(33.9917, -118.2564)",33.9917,-118.2564,POINT (-118.2564 33.9917)
5,2020-03-19,2030,13,Newton,3101 3401 3701 3008 3026 3029 3036 0605,36.0,Male,"Hispanic, Latin, Mexican",SAN PEDRO                    ST,29TH                         ST,"(34.0191, -118.2629)",34.0191,-118.2629,POINT (-118.2629 34.0191)
6,2020-03-19,320,13,Newton,3101 3401 3701 3004 3024 0605,22.0,Male,Black,GAGE                         AV,BROADWAY,"(33.9824, -118.2783)",33.9824,-118.2783,POINT (-118.2783 33.9824)
7,2020-03-19,2045,11,Northeast,3101 3401 3701 3004 3030 0605,27.0,Male,White,ARBOLADA                     RD,LOS FELIZ,"(34.1149, -118.2749)",34.1149,-118.2749,POINT (-118.2749 34.1149)
8,2020-03-19,1830,11,Northeast,0605 3101 3401 3701 3003 3026,44.0,Male,White,SAN FERNANDO                 RD,TREADWELL                    ST,"(34.1194, -118.2504)",34.1194,-118.2504,POINT (-118.2504 34.1194)
9,2020-03-19,1105,11,Northeast,3101 3401 3701 0605 3034 3004,30.0,Male,White,HILLHURST,CLARISSA                     AV,"(34.1069, -118.2874)",34.1069,-118.2874,POINT (-118.2874 34.1069)
10,2020-03-19,1840,4,Hollenbeck,3101 3401 3701 3004 3026 3036 0605,36.0,Male,"Hispanic, Latin, Mexican",HUNTINGTON,KENDAL,"(34.0949, -118.1645)",34.0949,-118.1645,POINT (-118.1645 34.0949)
11,2020-03-19,1230,4,Hollenbeck,3101 3401 3701 3004 3034 0605,41.0,Male,White,VALLEY,ALHAMBRA,"(34.069, -118.1766)",34.069,-118.1766,POINT (-118.1766 34.069)
12,2020-03-19,1315,4,Hollenbeck,3101 3401 3701 0605 3004 3025,31.0,Male,"Hispanic, Latin, Mexican",MISSION                      RD,LINCOLN PARK                 AV,"(34.0678, -118.2024)",34.0678,-118.2024,POINT (-118.2024 34.0678)
13,2020-03-19,1040,4,Hollenbeck,3101 3401 3701 0605 3004 3026 3036,62.0,Male,"Hispanic, Latin, Mexican",WASHINGTON                   BL,SOTO                         ST,"(34.0173, -118.22)",34.0173,-118.22,POINT (-118.22 34.0173)
14,2020-03-19,745,4,Hollenbeck,3101 3401 3004 3026 3701 0605,27.0,Male,"Hispanic, Latin, Mexican",INDIANA                      ST,MEDFORD                      ST,"(34.0618, -118.1926)",34.0618,-118.1926,POINT (-118.1926 34.0618)
15,2020-03-19,600,2,Rampart,3101 3401 3701 0605 3004 3030 3036,41.0,Male,"Hispanic, Latin, Mexican",6TH                          ST,CARONDELET,"(34.0614, -118.279)",34.0614,-118.279,POINT (-118.279 34.0614)
16,2020-03-19,1155,2,Rampart,3101 3701 0605 3004 3026 3036 3401,34.0,Male,"Hispanic, Latin, Mexican",UNION                        AV,JAMES M WOOD                 BL,"(34.0508, -118.2722)",34.0508,-118.2722,POINT (-118.2722 34.0508)
