DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191404029,01/01/2019,12/31/2018,2000,14,Pacific,1456,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,41,F,O,101,STREET,CAMPBELL                     DR,LOUISE                       AV,"(33.9951, -118.4244)"
180225382,12/31/2018,12/31/2018,0215,02,Rampart,0211,997,TRAFFIC COLLISION,3101 3401 3701 3003 3027 3801,37,M,H,101,STREET,VERMONT,SANTA MONICA,"(34.0814, -118.2962)"
180418940,01/07/2019,12/31/2018,1300,04,Hollenbeck,0403,997,TRAFFIC COLLISION,3101 3401 3701 3004 3025 3029,34,M,F,101,STREET,GRIFFIN,MONTECITO,"(34.0953, -118.2019)"
190504030,01/02/2019,12/31/2018,2355,05,Harbor,0514,997,TRAFFIC COLLISION,4025 3036 3004 3026 3029 3101,37,M,W,101,STREET,FIGUEROA                     ST,PACIFIC COAST                HY,"(33.7905, -118.2811)"
190804025,01/01/2019,12/31/2018,1905,08,West LA,0898,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,26,F,W,101,STREET,NATIONAL                     BL,DURANGO                      AV,"(34.0313, -118.3933)"
191104179,01/03/2019,12/31/2018,2130,11,Northeast,1127,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030,40,F,H,101,STREET,6400 N  FIGUEROA                     ST,,"(34.12, -118.1893)"
181523653,12/31/2018,12/31/2018,0200,15,N Hollywood,1555,997,TRAFFIC COLLISION,3003 3037 3028 3030 3101 3401 3701 4026,52,M,H,101,STREET,HESBY,FAIR,"(34.1619, -118.3746)"
181325240,12/31/2018,12/31/2018,1800,13,Newton,1394,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 3032,18,F,H,101,STREET,6800 S  MAIN                         ST,,"(33.9779, -118.2739)"
190104016,12/31/2018,12/31/2018,1100,01,Central,0195,997,TRAFFIC COLLISION,3401 3701 3004 3030 3101,37,M,H,101,STREET,15TH                         ST,MAIN                         ST,"(34.0343, -118.262)"
190504012,12/31/2018,12/31/2018,0440,05,Harbor,0529,997,TRAFFIC COLLISION,0605 3037 3004 3026 3101,25,F,H,101,STREET,ANAHEIM                      ST,MCDONOUGH                    AV,"(33.7819, -118.2314)"
192104056,01/02/2019,12/31/2018,2000,21,Topanga,2177,997,TRAFFIC COLLISION,3004 3030 3028 3037 3101 3401 3701 4010,60,F,O,101,STREET,BURBANK                      BL,W  OWENSMOUTH                   AV,"(34.172, -118.6049)"
192004326,01/08/2019,12/31/2018,1900,20,Olympic,2069,997,TRAFFIC COLLISION,3004 3026 3029 3035 3037 3104 3401 3701 4020,29,M,H,101,STREET,HOOVER                       AV,PICO                         BL,"(34.0473, -118.2842)"
191804038,12/31/2018,12/31/2018,0820,18,Southeast,1837,997,TRAFFIC COLLISION,4018 3004 3036 3026 3003 3101,51,M,H,101,STREET,1600 E  IMPERIAL                     HY,,"(33.9363, -118.2426)"
191904096,12/31/2018,12/31/2018,1845,19,Mission,1985,997,TRAFFIC COLLISION,,43,F,H,101,STREET,CHASE                        ST,WAKEFIELD                    AV,"(34.2249, -118.444)"
191804146,12/31/2018,12/31/2018,2140,18,Southeast,1801,997,TRAFFIC COLLISION,4025 3037 3004 3030 3101,42,M,H,101,STREET,88TH                         ST,BARING CROSS,"(33.958, -118.2893)"
191804017,01/01/2019,12/31/2018,1750,18,Southeast,1846,997,TRAFFIC COLLISION,4025 3037 3003 3024 3101,34,M,B,101,STREET,PARMELEE                     AV,IMPERIAL                     HY,"(33.9323, -118.2502)"
191904069,12/31/2018,12/31/2018,0935,19,Mission,1935,997,TRAFFIC COLLISION,3004 3036 3026 3101 3401 3701 4019,45,M,H,101,STREET,SHARP,SAN FERNANDO                 BL,"(34.2752, -118.4603)"
191904097,12/31/2018,12/31/2018,0250,19,Mission,1921,997,TRAFFIC COLLISION,3004 3036 3030 3028 3101 3401 3701 4019,32,M,X,101,STREET,TELFAIR                      AV,NURMI                        ST,"(34.2973, -118.4636)"
191904124,12/31/2018,12/31/2018,0900,19,Mission,1959,997,TRAFFIC COLLISION,3006 3025 3101 3401 3701 4019 3037,,M,W,101,STREET,VAN NUYS,VENA,"(34.2552, -118.4371)"
191804036,12/31/2018,12/31/2018,2210,18,Southeast,1834,997,TRAFFIC COLLISION,4025 3037 3008 3025 3101,20,F,H,101,STREET,AVALON                       BL,106TH                        ST,"(33.9402, -118.2652)"
191804037,12/31/2018,12/31/2018,2000,18,Southeast,1864,997,TRAFFIC COLLISION,4025 3036 3004 3030 3101,37,M,H,101,STREET,CENTRAL,BELHAVEN                     AV,"(33.927, -118.258)"
191604075,12/31/2018,12/31/2018,1529,16,Foothill,1653,997,TRAFFIC COLLISION,3004 3037 3026 3101 3401 3701 4016,25,M,B,101,STREET,SAN FERNANDO,KAMLOOPS,"(34.2557, -118.4111)"
191704145,12/31/2018,12/31/2018,1810,17,Devonshire,1766,997,TRAFFIC COLLISION,1501 3004 3036 3026 3101 3401 3701 4017,21,F,H,101,STREET,WILBUR                       AV,LASSEN                       ST,"(34.25, -118.5448)"
191704163,12/31/2018,12/31/2018,1445,17,Devonshire,1745,997,TRAFFIC COLLISION,1501 3004 3036 3030 3028 3101 3401 3701 4017,90,F,W,101,STREET,DEVONSHIRE,WHITE OAK,"(34.2576, -118.5198)"
191604076,12/31/2018,12/31/2018,1210,16,Foothill,1675,997,TRAFFIC COLLISION,3009 3036 3026 3101 3401 3701 4016,28,M,W,101,STREET,GLENOAKS,RANDALL,"(34.2375, -118.3745)"
191704165,01/01/2019,12/31/2018,1600,17,Devonshire,1796,997,TRAFFIC COLLISION,1501 3006 3030 3028 3101 3401 3701 4017 3037,69,M,O,101,STREET,16700    GRESHAM                      ST,,"(34.2303, -118.4971)"
191704004,12/31/2018,12/31/2018,2230,17,Devonshire,1764,997,TRAFFIC COLLISION,,,X,X,101,STREET,NORDHOFF                     PL,NORDHOFF                     WY,"(34.2351, -118.5562)"
191504035,01/01/2019,12/31/2018,1245,15,N Hollywood,1508,997,TRAFFIC COLLISION,3004 3037 3025 3101 3401 3701 4015,22,F,H,101,STREET,VINELAND                     AV,SATICOY                      ST,"(34.2085, -118.3703)"
191504001,01/01/2019,12/31/2018,1825,15,N Hollywood,1538,997,TRAFFIC COLLISION,3004 3037 3026 3101 3401 3701 4026,33,M,H,101,STREET,HATTERAS                     ST,VINELAND                     AV,"(34.1758, -118.3703)"
191404024,12/31/2018,12/31/2018,1625,14,Pacific,1465,997,TRAFFIC COLLISION,3004 3025 3035 3036 3101 3401 3701 4014,34,M,W,101,STREET,JEFFERSON                    BL,405                          FY,"(33.9877, -118.3992)"
191404150,01/02/2019,12/31/2018,1000,14,Pacific,1464,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3102 3401 3701 4027,42,X,X,101,STREET,12700 W  JEFFERSON                    BL,,"(33.9793, -118.4138)"
191304124,01/03/2019,12/31/2018,1430,13,Newton,1317,997,TRAFFIC COLLISION,3004 3101 3401 3701 3030,24,M,B,101,STREET,14TH                         ST,CENTRAL                      AV,"(34.0284, -118.2469)"
